airport,iata
"Cuneo International Airport","CUF"
"Aviano Air Base","AVB"
"Bolzano Airport","BZO"
"Bologna Guglielmo Marconi Airport","BLQ"
"Treviso-Sant'Angelo Airport","TSF"
"Forlì Airport","FRL"
"Brescia Airport","VBS"
"Trieste–Friuli Venezia Giulia Airport","TRS"
"Federico Fellini International Airport","RMI"
"Vicenza Airport","VIC"
"Padova Airport","QPA"
"Verona Villafranca Airport","VRN"
"Venice Marco Polo Airport","VCE"
"Siena-Ampugnano Airport","SAY"
"Ciampino–G. B. Pastine International Airport","CIA"
"Leonardo da Vinci–Fiumicino Airport","FCO"
"Marina Di Campo Airport","EBA"
"Latina Air Base","QLT"
"Naples International Airport","NAP"
"Pisa International Airport","PSA"
"Peretola Airport","FLR"
"Grosseto Air Base","GRS"
"Perugia San Francesco d'Assisi – Umbria International Airport","PEG"
"Ancona Falconara Airport","AOI"
"Aosta Airport","AOT"
"Salerno Costa d'Amalfi Airport","QSR"
"Oristano-Fenosu Airport","FNU"
"Comiso Airport","CIY"
"Sarzana-Luni Air Base","QLP"
"Jersey Airport","JER"
"Liepāja International Airport","LPX"
"Riga International Airport","RIX"
"Ventspils International Airport","VNT"
"Daugavpils Intrenational Airport","DGP"
"Šiauliai International Airport","SQQ"
"Barysiai Airport","HLJ"
"Kaunas International Airport","KUN"
"Palanga International Airport","PLQ"
"Vilnius International Airport","VNO"
"Panevėžys Air Base","PNV"
"Klaipėda Airport","KLJ"
"M. R. Štefánik Airport","BTS"
"Košice Airport","KSC"
"Piešťany Airport","PZY"
"Sliač Airport","SLD"
"Poprad-Tatry Airport","TAT"
"Žilina Airport","ILZ"
"Luxembourg-Findel International Airport","LUX"
"Bălți International Airport","BZY"
"Chişinău International Airport","KIV"
"Podgorica Airport","TGD"
"Tivat Airport","TIV"
"Ohrid St. Paul the Apostle Airport","OHD"
"Skopje Alexander the Great Airport","SKP"
"Malta International Airport","MLA"
"Xewkija Heliport","GZM"
"Amsterdam Airport Schiphol","AMS"
"Maastricht Aachen Airport","MST"
"Eindhoven Airport","EIN"
"Eelde Airport","GRQ"
"Gilze Rijen Air Base","GLZ"
"De Kooy Airport","DHR"
"Lelystad Airport","LEY"
"Leeuwarden Air Base","LWR"
"Rotterdam The Hague Airport","RTM"
"Soesterberg Air Base","UTC"
"Twente Airport","ENS"
"Valkenburg Naval Air Base","LID"
"Woensdrecht Air Base","WOE"
"Ålesund Airport","AES"
"Andøya Airport","ANX"
"Alta Airport","ALF"
"Brønnøysund Airport","BNN"
"Bodø Airport","BOO"
"Bergen Airport Flesland","BGO"
"Båtsfjord Airport","BJF"
"Kristiansand Airport","KRS"
"Geilo Airport Dagali","DLD"
"Bardufoss Airport","BDU"
"Harstad/Narvik Airport Evenes","EVE"
"Leirin Airport","VDB"
"Florø Airport","FRO"
"Oslo Lufthavn","OSL"
"Haugesund Airport","HAU"
"Hasvik Airport","HAA"
"Kristiansund Airport (Kvernberget)","KSU"
"Kirkenes Airport (Høybuktmoen)","KKN"
"Lista Airport","FAN"
"Molde Airport","MOL"
"Mosjøen Airport (Kjærstad)","MJF"
"Banak Airport","LKL"
"Notodden Airport","NTB"
"Ørland Airport","OLA"
"Røros Airport","RRS"
"Moss Airport Rygge","RYG"
"Svalbard Airport Longyear","LYR"
"Skien Airport","SKE"
"Stord Airport","SRP"
"Sandnessjøen Airport (Stokka)","SSJ"
"Tromsø Airport","TOS"
"Sandefjord Airport Torp","TRF"
"Trondheim Airport Værnes","TRD"
"Stavanger Airport Sola","SVG"
"Stokmarknes Skagen Airport","SKN"
"Hammerfest Airport","HFT"
"Valan Airport","HVG"
"Mehamn Airport","MEH"
"Vadsø Airport","VDS"
"Ørsta-Volda Airport Hovden","HOV"
"Narvik Framnes Airport","NVK"
"Berlevåg Airport","BVG"
"Oslo Fornebu Airport","FBU"
"Leknes Airport","LKN"
"Namsos Høknesøra Airport","OSY"
"Mo i Rana Airport Røssvoll","MQN"
"Rørvik Airport Ryum","RVK"
"Røst Airport","RET"
"Sandane Airport (Anda)","SDN"
"Sogndal Airport","SOG"
"Svolvær Helle Airport","SVJ"
"Sørkjosen Airport","SOJ"
"Vardø Airport Svartnes","VAW"
